Cpu,Dataset,User,Cores,Threads,Min,Avg,StDev
13thGenIntelRCoreTMi5-13500,1B,pedrosakuma,6,12,4.740,4.753,0.006
13thGenIntelRCoreTMi5-13500,1B,royvanrijn,6,6,3.156,3.181,0.014
13thGenIntelRCoreTMi5-13500,1B,royvanrijn,6,12,1.975,1.986,0.004
13thGenIntelRCoreTMi5-13500,1B,stephenvonworley,6,6,2.370,2.371,0.001
13thGenIntelRCoreTMi5-13500,1B,stephenvonworley,6,12,1.828,1.831,0.000
13thGenIntelRCoreTMi5-13500,1B,thomaswue,6,6,1.556,1.565,0.001
13thGenIntelRCoreTMi5-13500,1B,thomaswue,6,12,1.530,1.531,0.001
13thGenIntelRCoreTMi5-13500,1B,xoofx,6,6,3.390,3.401,0.002
13thGenIntelRCoreTMi5-13500,1B,xoofx,6,12,2.749,2.841,0.033
13thGenIntelRCoreTMi5-13500,1B_10K,abeobk,6,6,6.059,6.064,0.005
13thGenIntelRCoreTMi5-13500,1B_10K,abeobk,6,12,4.779,4.785,0.005
13thGenIntelRCoreTMi5-13500,1B_10K,artsiomkorzun,6,6,3.342,3.348,0.009
13thGenIntelRCoreTMi5-13500,1B_10K,artsiomkorzun,6,12,3.628,3.632,0.005
13thGenIntelRCoreTMi5-13500,1B_10K,austindonisan,6,6,3.847,3.851,0.005
13thGenIntelRCoreTMi5-13500,1B_10K,austindonisan,6,12,2.881,2.891,0.014
13thGenIntelRCoreTMi5-13500,1B_10K,buybackoff,6,6,3.073,3.084,0.009
13thGenIntelRCoreTMi5-13500,1B_10K,buybackoff,6,12,2.890,2.907,0.015
13thGenIntelRCoreTMi5-13500,1B_10K,CameronAavik,6,6,7.734,7.754,0.018
13thGenIntelRCoreTMi5-13500,1B_10K,CameronAavik,6,12,5.991,6.003,0.018
13thGenIntelRCoreTMi5-13500,1B_10K,dzaima,6,6,4.398,4.430,0.028
13thGenIntelRCoreTMi5-13500,1B_10K,jerrinot,6,6,4.326,4.329,0.002
13thGenIntelRCoreTMi5-13500,1B_10K,jerrinot,6,12,3.269,3.273,0.004
13thGenIntelRCoreTMi5-13500,1B_10K,kpocza,6,6,4.839,4.848,0.010
13thGenIntelRCoreTMi5-13500,1B_10K,kpocza,6,12,3.797,3.804,0.012
13thGenIntelRCoreTMi5-13500,1B_10K,lehuyduc,6,6,2.976,3.011,0.031
13thGenIntelRCoreTMi5-13500,1B_10K,lehuyduc,6,12,2.637,2.658,0.018
13thGenIntelRCoreTMi5-13500,1B_10K,mtopolnik,6,6,4.015,4.044,0.036
13thGenIntelRCoreTMi5-13500,1B_10K,mtopolnik,6,12,3.715,3.747,0.032
13thGenIntelRCoreTMi5-13500,1B_10K,mtopolnik-rs,6,6,4.954,4.961,0.008
13thGenIntelRCoreTMi5-13500,1B_10K,mtopolnik-rs,6,12,4.259,4.285,0.027
13thGenIntelRCoreTMi5-13500,1B_10K,nietras,6,6,5.767,5.794,0.026
13thGenIntelRCoreTMi5-13500,1B_10K,nietras,6,12,3.938,3.940,0.002
13thGenIntelRCoreTMi5-13500,1B_10K,NimaAra,6,6,8.560,8.583,0.020
13thGenIntelRCoreTMi5-13500,1B_10K,NimaAra,6,12,6.307,6.309,0.002
13thGenIntelRCoreTMi5-13500,1B_10K,noahfalk,6,6,3.537,3.541,0.003
13thGenIntelRCoreTMi5-13500,1B_10K,noahfalk,6,12,2.837,2.849,0.011
13thGenIntelRCoreTMi5-13500,1B_10K,pedrosakuma,6,6,8.299,8.320,0.020
13thGenIntelRCoreTMi5-13500,1B_10K,pedrosakuma,6,12,6.081,6.094,0.015
13thGenIntelRCoreTMi5-13500,1B_10K,royvanrijn,6,6,4.376,4.407,0.048
13thGenIntelRCoreTMi5-13500,1B_10K,royvanrijn,6,12,4.014,4.021,0.012
13thGenIntelRCoreTMi5-13500,1B_10K,stephenvonworley,6,6,3.873,3.889,0.017
13thGenIntelRCoreTMi5-13500,1B_10K,stephenvonworley,6,12,4.060,4.066,0.005
13thGenIntelRCoreTMi5-13500,1B_10K,thomaswue,6,6,4.711,4.722,0.010
13thGenIntelRCoreTMi5-13500,1B_10K,thomaswue,6,12,4.541,4.549,0.009
13thGenIntelRCoreTMi5-13500,1B_10K,xoofx,6,6,6.336,6.472,0.124
13thGenIntelRCoreTMi5-13500,1B_10K,xoofx,6,12,4.714,4.744,0.027
AMDEPYC7R1348-CoreProcessor,1B,abeobk,6,6,1.676,1.700,0.009
AMDEPYC7R1348-CoreProcessor,1B,abeobk,6,12,1.336,1.352,0.005
AMDEPYC7R1348-CoreProcessor,1B,abeobk,12,12,0.924,0.946,0.010
AMDEPYC7R1348-CoreProcessor,1B,abeobk,12,24,0.729,0.741,0.005
AMDEPYC7R1348-CoreProcessor,1B,abeobk,24,24,0.499,0.514,0.005
AMDEPYC7R1348-CoreProcessor,1B,abeobk,24,48,0.406,0.411,0.003
AMDEPYC7R1348-CoreProcessor,1B,abeobk,48,48,0.300,0.318,0.003
AMDEPYC7R1348-CoreProcessor,1B,abeobk,48,96,0.286,0.291,0.002
AMDEPYC7R1348-CoreProcessor,1B,abeobk,96,96,0.307,0.310,0.002
AMDEPYC7R1348-CoreProcessor,1B,abeobk,96,192,0.310,0.317,0.003
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,6,6,1.406,1.416,0.007
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,6,12,1.215,1.224,0.014
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,12,12,0.729,0.773,0.030
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,12,24,0.635,0.643,0.008
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,24,24,0.370,0.372,0.002
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,24,48,0.333,0.336,0.001
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,48,48,0.240,0.245,0.001
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,48,96,0.257,0.266,0.002
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,96,96,0.271,0.278,0.003
AMDEPYC7R1348-CoreProcessor,1B,artsiomkorzun,96,192,0.863,0.870,0.004
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,6,6,0.747,0.766,0.013
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,6,12,0.396,0.408,0.005
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,12,12,0.392,0.406,0.005
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,12,24,0.263,0.273,0.003
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,24,24,0.264,0.271,0.003
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,24,48,0.238,0.241,0.001
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,48,48,0.236,0.239,0.001
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,48,96,0.304,0.305,0.000
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,96,96,0.303,0.305,0.001
AMDEPYC7R1348-CoreProcessor,1B,austindonisan,96,192,0.322,0.324,0.001
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,6,6,1.408,1.439,0.017
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,6,12,1.244,1.249,0.003
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,12,12,0.751,0.782,0.020
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,12,24,0.671,0.686,0.007
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,24,24,0.386,0.398,0.003
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,24,48,0.363,0.365,0.001
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,48,48,0.264,0.269,0.003
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,48,96,0.294,0.299,0.001
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,96,96,0.322,0.326,0.002
AMDEPYC7R1348-CoreProcessor,1B,buybackoff,96,192,0.452,1.153,0.027
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,6,6,2.221,2.278,0.033
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,6,12,1.895,1.921,0.013
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,12,12,1.369,1.450,0.036
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,12,24,1.240,1.300,0.019
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,24,24,1.136,1.157,0.005
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,24,48,0.949,0.975,0.012
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,48,48,0.866,0.870,0.002
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,48,96,0.864,0.870,0.003
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,96,96,0.870,0.873,0.001
AMDEPYC7R1348-CoreProcessor,1B,CameronAavik,96,192,0.868,0.873,0.003
AMDEPYC7R1348-CoreProcessor,1B,dzaima,6,6,1.757,1.815,0.032
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,6,6,1.499,1.548,0.018
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,6,12,1.204,1.225,0.011
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,12,12,0.837,0.869,0.011
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,12,24,0.674,0.683,0.006
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,24,24,0.467,0.483,0.005
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,24,48,0.384,0.393,0.004
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,48,48,0.313,0.323,0.005
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,48,96,0.293,0.300,0.002
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,96,96,0.314,0.321,0.002
AMDEPYC7R1348-CoreProcessor,1B,jerrinot,96,192,0.312,0.319,0.003
AMDEPYC7R1348-CoreProcessor,1B,kpocza,6,6,2.671,2.703,0.013
AMDEPYC7R1348-CoreProcessor,1B,kpocza,6,12,2.157,2.180,0.025
AMDEPYC7R1348-CoreProcessor,1B,kpocza,12,12,1.651,1.821,0.200
AMDEPYC7R1348-CoreProcessor,1B,kpocza,12,24,1.375,1.506,0.064
AMDEPYC7R1348-CoreProcessor,1B,kpocza,24,24,1.080,1.087,0.006
AMDEPYC7R1348-CoreProcessor,1B,kpocza,24,48,0.949,0.956,0.002
AMDEPYC7R1348-CoreProcessor,1B,kpocza,48,48,0.821,0.830,0.005
AMDEPYC7R1348-CoreProcessor,1B,kpocza,48,96,0.797,0.809,0.009
AMDEPYC7R1348-CoreProcessor,1B,kpocza,96,96,0.849,1.025,0.050
AMDEPYC7R1348-CoreProcessor,1B,kpocza,96,192,1.508,1.521,0.006
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,6,6,1.638,1.672,0.009
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,6,12,1.152,1.206,0.019
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,12,12,1.043,1.128,0.015
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,12,24,0.632,0.725,0.031
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,24,24,0.480,0.550,0.028
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,24,48,0.366,0.374,0.006
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,48,48,0.295,0.310,0.006
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,48,96,0.265,0.283,0.010
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,96,96,0.323,0.328,0.003
AMDEPYC7R1348-CoreProcessor,1B,lehuyduc,96,192,0.355,0.366,0.003
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,6,6,2.049,2.120,0.022
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,6,12,1.489,1.512,0.015
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,12,12,1.103,1.304,0.079
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,12,24,0.841,0.878,0.021
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,24,24,0.661,0.720,0.021
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,24,48,0.508,0.533,0.006
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,48,48,0.382,0.428,0.021
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,48,96,0.409,0.425,0.006
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,96,96,0.423,0.443,0.007
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik,96,192,0.705,0.729,0.012
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,6,6,2.808,2.818,0.005
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,6,12,2.327,2.331,0.002
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,12,12,1.700,1.977,0.278
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,12,24,1.459,1.507,0.072
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,24,24,1.110,1.120,0.010
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,24,48,1.011,1.016,0.006
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,48,48,0.874,0.929,0.031
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,48,96,0.860,0.884,0.011
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,96,96,0.810,0.822,0.007
AMDEPYC7R1348-CoreProcessor,1B,mtopolnik-rs,96,192,0.900,0.913,0.005
AMDEPYC7R1348-CoreProcessor,1B,nietras,6,6,2.520,3.633,0.011
AMDEPYC7R1348-CoreProcessor,1B,nietras,6,12,2.167,2.194,0.007
AMDEPYC7R1348-CoreProcessor,1B,nietras,12,12,2.051,2.424,0.217
AMDEPYC7R1348-CoreProcessor,1B,nietras,12,24,1.399,1.538,0.074
AMDEPYC7R1348-CoreProcessor,1B,nietras,24,24,1.308,1.319,0.003
AMDEPYC7R1348-CoreProcessor,1B,nietras,24,48,0.954,0.963,0.003
AMDEPYC7R1348-CoreProcessor,1B,nietras,48,48,0.924,0.933,0.007
AMDEPYC7R1348-CoreProcessor,1B,nietras,48,96,0.791,0.803,0.008
AMDEPYC7R1348-CoreProcessor,1B,nietras,96,96,0.853,0.876,0.006
AMDEPYC7R1348-CoreProcessor,1B,nietras,96,192,0.872,0.889,0.006
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,6,6,4.302,4.351,0.027
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,6,12,3.512,3.522,0.002
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,12,12,2.478,2.497,0.016
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,12,24,2.074,2.086,0.015
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,24,24,1.502,1.506,0.001
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,24,48,1.306,1.312,0.001
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,48,48,1.058,1.064,0.002
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,48,96,1.007,1.012,0.002
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,96,96,0.845,0.867,0.016
AMDEPYC7R1348-CoreProcessor,1B,NimaAra,96,192,0.891,0.906,0.010
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,6,6,0.939,0.952,0.009
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,6,12,0.856,0.932,0.025
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,12,12,0.512,0.564,0.028
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,12,24,0.504,0.529,0.006
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,24,24,0.326,0.339,0.004
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,24,48,0.334,0.343,0.003
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,48,48,0.293,0.302,0.003
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,48,96,0.311,0.322,0.007
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,96,96,0.360,0.378,0.008
AMDEPYC7R1348-CoreProcessor,1B,noahfalk,96,192,0.359,0.383,0.008
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,6,6,5.075,5.092,0.004
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,6,12,4.119,4.133,0.010
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,12,12,3.095,3.298,0.217
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,12,24,2.699,2.794,0.059
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,24,24,2.117,2.119,0.003
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,24,48,2.195,2.206,0.006
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,48,48,2.041,2.047,0.000
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,48,96,2.764,2.778,0.001
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,96,96,3.113,3.151,0.007
AMDEPYC7R1348-CoreProcessor,1B,pedrosakuma,96,192,4.241,4.252,0.006
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,6,6,2.066,2.096,0.017
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,6,12,1.385,1.403,0.010
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,12,12,1.161,1.174,0.007
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,12,24,0.777,0.792,0.006
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,24,24,0.638,0.652,0.005
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,24,48,0.448,0.461,0.006
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,48,48,0.376,0.398,0.007
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,48,96,0.337,0.346,0.005
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,96,96,0.365,0.382,0.005
AMDEPYC7R1348-CoreProcessor,1B,royvanrijn,96,192,0.428,0.444,0.006
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,6,6,1.758,1.763,0.003
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,6,12,1.364,1.367,0.005
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,12,12,0.925,0.971,0.038
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,12,24,0.717,0.738,0.015
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,24,24,0.474,0.482,0.001
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,24,48,0.383,0.386,0.001
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,48,48,0.280,0.283,0.002
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,48,96,0.278,0.287,0.001
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,96,96,0.294,0.300,0.002
AMDEPYC7R1348-CoreProcessor,1B,stephenvonworley,96,192,0.356,0.367,0.004
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,6,6,1.328,1.336,0.004
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,6,12,1.160,1.163,0.002
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,12,12,0.683,0.705,0.008
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,12,24,0.598,0.610,0.004
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,24,24,0.347,0.351,0.001
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,24,48,0.313,0.316,0.001
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,48,48,0.237,0.241,0.001
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,48,96,0.252,0.257,0.001
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,96,96,0.260,0.267,0.002
AMDEPYC7R1348-CoreProcessor,1B,thomaswue,96,192,0.326,0.332,0.002
AMDEPYC7R1348-CoreProcessor,1B,xoofx,6,6,2.209,2.352,0.054
AMDEPYC7R1348-CoreProcessor,1B,xoofx,6,12,1.788,1.801,0.007
AMDEPYC7R1348-CoreProcessor,1B,xoofx,12,12,1.245,1.713,0.087
AMDEPYC7R1348-CoreProcessor,1B,xoofx,12,24,0.985,1.167,0.052
AMDEPYC7R1348-CoreProcessor,1B,xoofx,24,24,0.607,0.633,0.009
AMDEPYC7R1348-CoreProcessor,1B,xoofx,24,48,0.490,0.516,0.009
AMDEPYC7R1348-CoreProcessor,1B,xoofx,48,48,0.340,0.356,0.011
AMDEPYC7R1348-CoreProcessor,1B,xoofx,48,96,0.363,0.389,0.010
AMDEPYC7R1348-CoreProcessor,1B,xoofx,96,96,0.328,0.336,0.003
AMDEPYC7R1348-CoreProcessor,1B,xoofx,96,192,0.319,0.345,0.009
AMDEPYC7R1348-CoreProcessor,1B_10K,abeobk,12,12,4.102,4.185,0.068
AMDEPYC7R1348-CoreProcessor,1B_10K,abeobk,12,24,2.893,2.947,0.050
AMDEPYC7R1348-CoreProcessor,1B_10K,abeobk,24,24,1.961,1.978,0.014
AMDEPYC7R1348-CoreProcessor,1B_10K,abeobk,24,48,1.348,1.362,0.006
AMDEPYC7R1348-CoreProcessor,1B_10K,abeobk,48,48,0.928,0.941,0.006
AMDEPYC7R1348-CoreProcessor,1B_10K,abeobk,48,96,0.692,0.703,0.006
AMDEPYC7R1348-CoreProcessor,1B_10K,abeobk,96,96,0.529,0.536,0.005
AMDEPYC7R1348-CoreProcessor,1B_10K,abeobk,96,192,0.417,0.420,0.002
AMDEPYC7R1348-CoreProcessor,1B_10K,artsiomkorzun,12,12,1.412,1.451,0.029
AMDEPYC7R1348-CoreProcessor,1B_10K,artsiomkorzun,12,24,1.132,1.152,0.009
AMDEPYC7R1348-CoreProcessor,1B_10K,artsiomkorzun,24,24,0.727,0.732,0.004
AMDEPYC7R1348-CoreProcessor,1B_10K,artsiomkorzun,24,48,0.611,0.618,0.004
AMDEPYC7R1348-CoreProcessor,1B_10K,artsiomkorzun,48,48,0.490,0.491,0.001
AMDEPYC7R1348-CoreProcessor,1B_10K,artsiomkorzun,48,96,0.499,0.502,0.001
AMDEPYC7R1348-CoreProcessor,1B_10K,artsiomkorzun,96,96,0.353,0.360,0.003
AMDEPYC7R1348-CoreProcessor,1B_10K,artsiomkorzun,96,192,1.087,1.097,0.005
AMDEPYC7R1348-CoreProcessor,1B_10K,austindonisan,12,12,1.105,1.122,0.009
AMDEPYC7R1348-CoreProcessor,1B_10K,austindonisan,12,24,0.627,0.637,0.007
AMDEPYC7R1348-CoreProcessor,1B_10K,austindonisan,24,24,0.620,0.637,0.003
AMDEPYC7R1348-CoreProcessor,1B_10K,austindonisan,24,48,0.433,0.441,0.005
AMDEPYC7R1348-CoreProcessor,1B_10K,austindonisan,48,48,0.421,0.434,0.001
AMDEPYC7R1348-CoreProcessor,1B_10K,austindonisan,48,96,0.330,0.333,0.003
AMDEPYC7R1348-CoreProcessor,1B_10K,austindonisan,96,96,0.329,0.331,0.001
AMDEPYC7R1348-CoreProcessor,1B_10K,austindonisan,96,192,0.484,0.490,0.003
AMDEPYC7R1348-CoreProcessor,1B_10K,buybackoff,12,12,1.557,1.614,0.039
AMDEPYC7R1348-CoreProcessor,1B_10K,buybackoff,12,24,1.515,1.529,0.003
AMDEPYC7R1348-CoreProcessor,1B_10K,buybackoff,24,24,0.810,0.825,0.002
AMDEPYC7R1348-CoreProcessor,1B_10K,buybackoff,24,48,0.827,0.831,0.002
AMDEPYC7R1348-CoreProcessor,1B_10K,buybackoff,48,48,0.545,0.549,0.002
AMDEPYC7R1348-CoreProcessor,1B_10K,buybackoff,48,96,0.595,0.598,0.002
AMDEPYC7R1348-CoreProcessor,1B_10K,buybackoff,96,96,0.448,0.457,0.005
AMDEPYC7R1348-CoreProcessor,1B_10K,buybackoff,96,192,0.605,0.613,0.003
AMDEPYC7R1348-CoreProcessor,1B_10K,CameronAavik,12,12,3.802,3.826,0.007
AMDEPYC7R1348-CoreProcessor,1B_10K,CameronAavik,12,24,3.519,3.545,0.016
AMDEPYC7R1348-CoreProcessor,1B_10K,CameronAavik,24,24,2.794,2.809,0.007
AMDEPYC7R1348-CoreProcessor,1B_10K,CameronAavik,24,48,2.217,2.242,0.006
AMDEPYC7R1348-CoreProcessor,1B_10K,CameronAavik,48,48,1.847,1.855,0.006
AMDEPYC7R1348-CoreProcessor,1B_10K,CameronAavik,48,96,1.850,1.863,0.005
AMDEPYC7R1348-CoreProcessor,1B_10K,CameronAavik,96,96,1.842,1.857,0.009
AMDEPYC7R1348-CoreProcessor,1B_10K,CameronAavik,96,192,1.846,1.855,0.007
AMDEPYC7R1348-CoreProcessor,1B_10K,jerrinot,12,12,2.963,3.135,0.060
AMDEPYC7R1348-CoreProcessor,1B_10K,jerrinot,12,24,2.533,2.580,0.031
AMDEPYC7R1348-CoreProcessor,1B_10K,jerrinot,24,24,2.059,2.091,0.011
AMDEPYC7R1348-CoreProcessor,1B_10K,jerrinot,24,48,1.730,1.752,0.013
AMDEPYC7R1348-CoreProcessor,1B_10K,jerrinot,48,48,1.548,1.566,0.007
AMDEPYC7R1348-CoreProcessor,1B_10K,jerrinot,48,96,1.457,1.474,0.009
AMDEPYC7R1348-CoreProcessor,1B_10K,jerrinot,96,96,1.456,1.478,0.014
